shoulderWidth,bustCircumference,waistCircumference,hipCircumference,body_shape,necklines
15,35,28,36,Rectangle,"Halter Neck, Off the Shoulder"
16,38,33,41,Rectangle,"Halter Neck, Off the Shoulder"
18,45,40,45,Rectangle,"Halter Neck, Off the Shoulder"
15,36,30.5,42,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,35,32,39,Rectangle,"Halter Neck, Off the Shoulder"
14,33,30,37,Rectangle,"Halter Neck, Off the Shoulder"
15,34,27.5,35,Rectangle,"Halter Neck, Off the Shoulder"
16,40,37,41,Rectangle,"Halter Neck, Off the Shoulder"
16,37,32,40,Rectangle,"Halter Neck, Off the Shoulder"
19,46,44,46,Rectangle,"Halter Neck, Off the Shoulder"
15,32,26,33,Rectangle,"Halter Neck, Off the Shoulder"
17,42,41,44,Rectangle,"Halter Neck, Off the Shoulder"
17,46,41,47,Rectangle,"Halter Neck, Off the Shoulder"
16,38,36,44,Rectangle,"Halter Neck, Off the Shoulder"
16,37,34,39,Rectangle,"Halter Neck, Off the Shoulder"
15,37,33,39,Rectangle,"Halter Neck, Off the Shoulder"
17,41,48,45,Rectangle,"Halter Neck, Off the Shoulder"
17,40,36,44,Rectangle,"Halter Neck, Off the Shoulder"
15,37,30,38,Rectangle,"Halter Neck, Off the Shoulder"
15,37,31,40,Rectangle,"Halter Neck, Off the Shoulder"
18,47,42,54,Rectangle,"Halter Neck, Off the Shoulder"
16,38,34,42,Rectangle,"Halter Neck, Off the Shoulder"
14,30,24,31,Rectangle,"Halter Neck, Off the Shoulder"
15,38,33,38,Rectangle,"Halter Neck, Off the Shoulder"
14,43,39,47,Rectangle,"Halter Neck, Off the Shoulder"
15,35,30,36,Rectangle,"Halter Neck, Off the Shoulder"
17,44,40,46,Rectangle,"Halter Neck, Off the Shoulder"
15,34,28,39,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
14,34,30,36,Rectangle,"Halter Neck, Off the Shoulder"
15,34,31,39,Rectangle,"Halter Neck, Off the Shoulder"
16,40,36,42,Rectangle,"Halter Neck, Off the Shoulder"
15,36,32,39,Rectangle,"Halter Neck, Off the Shoulder"
16,44,40,46,Rectangle,"Halter Neck, Off the Shoulder"
17,41.5,38,44,Rectangle,"Halter Neck, Off the Shoulder"
13,27,25,29,Rectangle,"Halter Neck, Off the Shoulder"
16,35,28,38,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,43,40,45,Rectangle,"Halter Neck, Off the Shoulder"
17,39,38,41,Rectangle,"Halter Neck, Off the Shoulder"
13,28,25,28,Rectangle,"Halter Neck, Off the Shoulder"
16,37,33,38,Rectangle,"Halter Neck, Off the Shoulder"
14,30,26,32,Rectangle,"Halter Neck, Off the Shoulder"
17,35,27.5,38,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
14,30,26,33,Rectangle,"Halter Neck, Off the Shoulder"
16,36,32,39,Rectangle,"Halter Neck, Off the Shoulder"
16,34.5,27,35.5,Rectangle,"Halter Neck, Off the Shoulder"
17,41,36,42,Rectangle,"Halter Neck, Off the Shoulder"
17,41,35,43,Rectangle,"Halter Neck, Off the Shoulder"
17,47,40,49,Rectangle,"Halter Neck, Off the Shoulder"
19,56,52,58,Rectangle,"Halter Neck, Off the Shoulder"
19,56,52,56,Rectangle,"Halter Neck, Off the Shoulder"
14,29,24,30,Rectangle,"Halter Neck, Off the Shoulder"
15,34.5,28,38,Apple,V-Neck
15,34.5,39,37.5,Rectangle,"Halter Neck, Off the Shoulder"
16,42,33,42,Rectangle,"Halter Neck, Off the Shoulder"
17,44,40,45,Rectangle,"Halter Neck, Off the Shoulder"
16,43.5,35,45.5,Rectangle,"Halter Neck, Off the Shoulder"
17,47,42,46,Rectangle,"Halter Neck, Off the Shoulder"
15,38.5,33.5,43.5,Rectangle,"Halter Neck, Off the Shoulder"
15,33,26,35,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
14,31,28,35,Rectangle,"Halter Neck, Off the Shoulder"
15,33,27,35,Rectangle,"Halter Neck, Off the Shoulder"
16,38.5,38,46,Rectangle,"Halter Neck, Off the Shoulder"
16,43,42,45,Rectangle,"Halter Neck, Off the Shoulder"
16,34,30,41,Pear,"V-Neck, Boat Neck"
15,38,35,39,Rectangle,"Halter Neck, Off the Shoulder"
15,35,35,38,Rectangle,"Halter Neck, Off the Shoulder"
14,32,26,33,Rectangle,"Halter Neck, Off the Shoulder"
16,43,36,45.5,Rectangle,"Halter Neck, Off the Shoulder"
15,38,36,40.5,Rectangle,"Halter Neck, Off the Shoulder"
15,38,35,42,Rectangle,"Halter Neck, Off the Shoulder"
16,40.5,34,46,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,37,34,40,Rectangle,"Halter Neck, Off the Shoulder"
16,43,42,48.5,Rectangle,"Halter Neck, Off the Shoulder"
16.5,36,30,41,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,34.5,29.5,40.5,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
16,43.5,44.5,50,Rectangle,"Halter Neck, Off the Shoulder"
16,44,45,50,Rectangle,"Halter Neck, Off the Shoulder"
16,33,29.5,38,Rectangle,"Halter Neck, Off the Shoulder"
14,33,25.5,36,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,38,35,43,Rectangle,"Halter Neck, Off the Shoulder"
16,41,36,40.5,Rectangle,"Halter Neck, Off the Shoulder"
16,39.5,35,40,Rectangle,"Halter Neck, Off the Shoulder"
14,31.5,26,32.5,Rectangle,"Halter Neck, Off the Shoulder"
18,38,34,39,Rectangle,"Halter Neck, Off the Shoulder"
16,43,42.5,46,Rectangle,"Halter Neck, Off the Shoulder"
14,32,27,32,Rectangle,"Halter Neck, Off the Shoulder"
14,31,28,32,Rectangle,"Halter Neck, Off the Shoulder"
15,35.5,32,38,Rectangle,"Halter Neck, Off the Shoulder"
16,35,28,39,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
21,46,42,50,Rectangle,"Halter Neck, Off the Shoulder"
14,34,26.5,36,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,35.5,27.5,37.5,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,38,30.5,40.5,Rectangle,"Halter Neck, Off the Shoulder"
16,36.5,31,41,Rectangle,"Halter Neck, Off the Shoulder"
16,35,28,38,Hourglass,"V-Neck, Halter Neck, Boat neck, Off the Shoulder"
15,34,29,34,Rectangle,"Halter Neck, Off the Shoulder"
16,41.5,36.5,43,Rectangle,"Halter Neck, Off the Shoulder"
15,39,33,38.5,Rectangle,"Halter Neck, Off the Shoulder"
15,39,38,45,Rectangle,"Halter Neck, Off the Shoulder"
15,41,38.5,43,Rectangle,"Halter Neck, Off the Shoulder"
14,40,36,44,Rectangle,"Halter Neck, Off the Shoulder"
16,42,36,44,Rectangle,"Halter Neck, Off the Shoulder"
16,43.5,35,45.5,Rectangle,"Halter Neck, Off the Shoulder"
